Date,DDR5_16G,DDR4_16G,DDR4_8G,DDR3_4G_512M
2023-03-31,,3.24,1.656,1.07
2023-04-03,,3.235,1.656,1.067
2023-04-04,,3.225,1.653,1.065
2023-04-06,,3.21,1.65,1.062
2023-04-07,,3.21,1.646,1.058
2023-04-10,,3.21,1.64,1.058
2023-04-11,,3.235,1.637,1.058
2023-04-12,,3.235,1.634,1.058
2023-04-13,,3.235,1.633,1.058
2023-04-14,,3.235,1.633,1.055
2023-04-17,,3.235,1.63,1.052
2023-04-18,,3.235,1.63,1.049
2023-04-19,,3.235,1.63,1.046
2023-04-20,,3.235,1.63,1.042
2023-04-21,,3.235,1.629,1.041
2023-04-24,,3.235,1.622,1.04
2023-04-25,,3.235,1.618,1.036
2023-04-26,,3.235,1.618,1.035
2023-04-27,,3.235,1.618,1.034
2023-04-28,,3.233,1.618,1.033
2023-05-02,,3.233,1.618,1.032
2023-05-03,,3.233,1.618,1.032
2023-05-04,,3.099,1.597,1.032
2023-05-05,,3.118,1.591,1.031
2023-05-08,,3.109,1.587,1.031
2023-05-09,,3.1,1.582,1.031
2023-05-10,,3.07,1.567,1.03
2023-05-11,,3.045,1.551,1.028
2023-05-12,,3.025,1.536,1.028
2023-05-15,,3.005,1.533,1.028
2023-05-16,,3.0,1.526,1.028
2023-05-17,,2.995,1.52,1.027
2023-05-18,,2.995,1.518,1.026
2023-05-19,,2.99,1.516,1.024
2023-05-22,,2.985,1.514,1.023
2023-05-23,,2.98,1.513,1.023
2023-05-24,,2.975,1.511,1.022
2023-05-25,,2.97,1.509,1.021
2023-05-26,,2.965,1.509,1.021
2023-05-29,,2.96,1.509,1.021
2023-05-30,,2.958,1.506,1.02
2023-05-31,,2.955,1.514,1.018
2023-06-01,,2.95,1.524,1.018
2023-06-02,,2.94,1.524,1.018
2023-06-05,,2.93,1.52,1.018
2023-06-06,,2.93,1.518,1.018
2023-06-07,,2.925,1.521,1.024
2023-06-08,,2.92,1.52,1.03
2023-06-09,,2.92,1.52,1.03
2023-06-12,,2.918,1.52,1.03
2023-06-13,,2.915,1.52,1.03
2023-06-14,,2.914,1.518,1.036
2023-06-15,,2.914,1.518,1.036
2023-06-16,,2.914,1.517,1.035
2023-06-19,,2.914,1.516,1.035
2023-06-20,,2.914,1.513,1.035
2023-06-21,,2.932,1.513,1.034
2023-06-26,,2.931,1.511,1.034
2023-06-27,,2.931,1.509,1.034
2023-06-28,,2.926,1.508,1.033
2023-06-29,,2.918,1.507,1.028
2023-06-30,,2.918,1.503,1.026
2023-07-03,,2.913,1.5,1.023
2023-07-04,,2.908,1.498,1.021
2023-07-05,,2.908,1.496,1.018
2023-07-06,,2.903,1.493,1.016
2023-07-07,,2.904,1.493,1.013
2023-07-10,,2.914,1.491,1.008
2023-07-11,,2.914,1.489,1.007
2023-07-12,,2.936,1.486,1.002
2023-07-13,,2.951,1.486,1.001
2023-07-14,,2.962,1.485,0.998
2023-07-17,,2.962,1.483,0.998
2023-07-18,,2.956,1.483,0.993
2023-07-19,,2.95,1.483,0.988
2023-07-20,,2.95,1.48,0.985
2023-07-21,,2.95,1.476,0.982
2023-07-24,,2.95,1.475,0.978
2023-07-25,,2.95,1.47,0.978
2023-07-26,,2.949,1.466,0.976
2023-07-27,,2.949,1.465,0.975
2023-07-28,,2.949,1.46,0.975
2023-07-31,,2.944,1.46,0.974
2023-08-01,,2.94,1.456,0.974
2023-08-02,,2.94,1.452,0.973
2023-08-03,,2.945,1.449,0.973
2023-08-04,,2.951,1.447,0.973
2023-08-07,,2.951,1.445,0.972
2023-08-08,,2.957,1.444,0.971
2023-08-09,,2.948,1.443,0.97
2023-08-10,,2.948,1.443,0.97
2023-08-11,,2.948,1.443,0.97
2023-08-14,,2.94,1.443,0.97
2023-08-15,,2.94,1.438,0.968
2023-08-16,,2.94,1.435,0.967
2023-08-17,,2.94,1.43,0.966
2023-08-18,,2.934,1.428,0.965
2023-08-21,,2.946,1.423,0.965
2023-08-22,,2.946,1.42,0.964
2023-08-23,,2.94,1.415,0.963
2023-08-24,,2.94,1.413,0.963
2023-08-25,,2.94,1.409,0.962
2023-08-28,,2.94,1.408,0.96
2023-08-29,,2.94,1.406,0.96
2023-08-30,,2.934,1.406,0.959
2023-08-31,,2.933,1.405,0.96
2023-09-01,,2.933,1.403,0.962
2023-09-04,,2.928,1.402,0.962
2023-09-05,,2.927,1.4,0.965
2023-09-06,,2.924,1.398,0.968
2023-09-07,,2.916,1.395,0.968
2023-09-08,,2.91,1.395,0.973
2023-09-11,,2.907,1.396,0.976
2023-09-12,,2.901,1.4,0.978
2023-09-13,,2.896,1.405,0.981
2023-09-14,,2.89,1.42,0.985
2023-09-15,,2.89,1.43,0.988
2023-09-18,,2.911,1.438,1.007
2023-09-19,,2.933,1.435,1.007
2023-09-20,,2.933,1.435,1.014
2023-09-21,,2.933,1.438,1.02
2023-09-22,,2.921,1.438,1.024
2023-09-25,,2.921,1.44,1.021
2023-09-26,,2.943,1.443,1.017
2023-09-27,,2.967,1.45,1.021
2023-10-03,,3.004,1.454,1.02
2023-10-04,,3.01,1.458,1.019
2023-10-05,,3.016,1.458,1.018
2023-10-06,,3.016,1.468,1.016
2023-10-09,,3.016,1.47,1.016
2023-10-10,,3.016,1.47,1.016
2023-10-11,,3.029,1.478,1.024
2023-10-12,,3.041,1.485,1.034
2023-10-13,,3.041,1.495,1.037
2023-10-16,,3.03,1.505,1.047
2023-10-17,,3.03,1.51,1.047
2023-10-18,,3.025,1.508,1.047
2023-10-19,,3.025,1.508,1.047
2023-10-20,,3.025,1.508,1.047
2023-10-21,,3.022,1.508,1.057
2023-10-23,,3.035,1.51,1.063
2023-10-24,,3.066,1.511,1.063
2023-10-25,,3.083,1.52,1.067
2023-10-26,,3.104,1.52,1.067
2023-10-27,,3.126,1.532,1.065
2023-10-30,,3.143,1.542,1.064
2023-10-31,,3.143,1.542,1.062
2023-11-01,,3.171,1.547,1.061
2023-11-02,,3.18,1.547,1.059
2023-11-03,,3.18,1.545,1.059
2023-11-06,,3.171,1.547,1.059
2023-11-07,,3.189,1.555,1.058
2023-11-08,,3.189,1.555,1.061
2023-11-09,,3.189,1.557,1.059
2023-11-10,,3.197,1.557,1.059
2023-11-13,,3.197,1.557,1.061
2023-11-14,,3.193,1.557,1.059
2023-11-15,,3.187,1.557,1.059
2023-11-16,,3.2,1.554,1.059
2023-11-17,,3.209,1.552,1.059
2023-11-20,,3.222,1.553,1.059
2023-11-21,,3.24,1.551,1.059
2023-11-22,,3.24,1.552,1.058
2023-11-23,,3.24,1.554,1.057
